     MaNGAID     objRA    objDec    g_ps1    r_ps1    i_ps1    z_ps1 gerr_ps1 rerr_ps1 ierr_ps1 zerr_ps1
 3-109454844 190.42757  -2.04924   15.589   14.996   14.748   14.626    0.004    0.004    0.003    0.006
 3-109499894 190.99300  -2.31114   15.554   15.063   14.866   14.811    0.002    0.003    0.003    0.005
 3-109499928 191.02329  -2.19561   16.090   15.531   15.322   15.248    0.011    0.008    0.009    0.003
 3-109499984 190.84968  -2.06874   16.115   15.894   15.824   15.818    0.006    0.004    0.003    0.003
 3-109545248 192.50627  -3.20563   15.824   14.764   14.278   14.045    0.004    0.003    0.006    0.007
 3-109545292 192.54215  -3.28539   16.884   15.743   15.183   14.953    0.007    0.005    0.006    0.004
 3-109545410 191.84305  -2.81872   15.800   15.612   15.500   15.398    0.090    0.031    0.032    0.031
 3-109545524 191.69490  -2.58814   15.928   15.499   15.329   15.229    0.026    0.015    0.019    0.006
 3-109545630 191.29052  -2.18299   15.740   14.728   14.340   14.166    0.004    0.004    0.006    0.004
 3-109545694 191.08786  -2.00238   16.463   16.203   16.139   16.122    0.004    0.005    0.009    0.005
 3-109591884 191.43853  -2.00539   16.063   15.341   15.027   14.880    0.008    0.003    0.003    0.002
 3-109591933 191.27451  -2.04283   16.014   15.555   15.356   15.279    0.003    0.005    0.004    0.005
 3-109591991 190.93671  -1.80779   15.456   14.521   14.082   13.872    0.003    0.006    0.005    0.006
 3-109592040 190.94101  -1.65886   15.508   14.957   14.733   14.643    0.003    0.002    0.006    0.005
 3-109638370 192.56775  -2.75610   16.224   15.748   15.589   15.530    0.004    0.004    0.004    0.004
 3-109638459 192.17003  -2.49910   16.370   15.889   15.722   15.665    0.003    0.004    0.004    0.002
 3-109638508 192.06445  -2.24733   15.528   15.690   15.869   15.967    0.004    0.003    0.002    0.007
 3-109638534 191.97054  -2.31321   15.518   15.317   15.268   15.284    0.004    0.003    0.004    0.003
 3-109638551 191.70034  -2.12190   15.774   15.335   15.221   15.410    0.093    0.105    0.057    0.041
 3-109638568 191.94197  -2.09123   16.472   16.018   15.827   15.755    0.008    0.004    0.002    0.004
 3-109685798 192.63258  -2.64402   16.223   15.871   15.733   15.687    0.006    0.006    0.004    0.001
 3-109685898 192.42036  -2.26171   15.418   14.849   14.686   14.612    0.006    0.011    0.003    0.004
 3-109685993 191.97233  -1.92306   15.425   14.263   13.643   13.380    0.004    0.005  999.000    0.002
 3-109734397 192.20830  -1.86805   16.348   15.852   15.690   15.626    0.005    0.004    0.003    0.007
 3-109942528 164.36154  -3.68396   14.821   14.247   14.071   14.019    0.003    0.003    0.003    0.002
 3-109942621 164.08153  -3.81362   15.822   15.441   15.291   15.271    0.005    0.002    0.004    0.004
 3-109994458 164.27090  -3.28326   14.555   14.153   13.985   13.941    0.019    0.006    0.004    0.005
 3-110047266 164.62208  -2.63121   15.419   14.694   14.419   14.315    0.007    0.004  999.000    0.002
 3-110047350 164.25693  -3.02864   15.915   15.277   15.041   14.962    0.004    0.002    0.003    0.006
 3-110047374 164.30881  -3.17179   15.534   14.810   14.535   14.393    0.007    0.002    0.004    0.003
 3-110047390 164.20726  -3.11081   15.533   15.228   15.137   15.132    0.004    0.002    0.003    0.010
 3-110047400 164.24448  -3.15266   16.946   15.937   15.501   15.315    0.006    0.003    0.003    0.003
 3-110099815 164.12441  -2.93632   16.791   16.327   16.122   16.066    0.004    0.003    0.006    0.004
 3-110099828 164.08050  -3.04745   14.924   14.379   14.201   14.165    0.003    0.002    0.012    0.005
 3-110099835 163.97675  -3.07670   17.022   16.277   15.974   15.835    0.004    0.001    0.004    0.003
 3-110152845 164.27935  -2.57884   16.983   16.595   16.462   16.422    0.002    0.003    0.003    0.006
 3-110152856 164.17144  -2.60463   15.430   14.942   14.759   14.697    0.002    0.008    0.002    0.003
 3-110152864 164.12292  -2.58138   16.993   16.042   15.650   15.462    0.003    0.004    0.003    0.003
 3-110152877 164.00149  -2.82916   17.159   15.986   15.420   15.176    0.004    0.002    0.003    0.006
 3-110207943 164.36320  -2.21316   14.801   14.205   14.031   13.965    0.001    0.006    0.030    0.005
 3-110322752 163.92185  -1.92404   16.354   15.667   15.405   15.308    0.004    0.004    0.005    0.004
 3-110381930 163.53408  -1.83894   16.449   15.701   15.458   15.326    0.009    0.007    0.002    0.004
 3-110381994 163.36893  -2.00084   16.203   15.281   14.929   14.779    0.007    0.013    0.003    0.005
 3-110441670 161.98968  -2.75814   16.637   15.867   15.620   15.497    0.002    0.003    0.004    0.003
 3-110501690 161.98206  -2.67882   15.233   14.728   14.526   14.448    0.005    0.003    0.004    0.003
 3-11073459  284.28933  32.88206   16.853   16.962   17.110   17.195    0.005    0.007    0.002    0.003
 3-11074967  284.79898  33.22236   15.011   14.868   14.898   14.952    0.003    0.004    0.003    0.005
 3-111957484 179.36826  18.54676   16.018   14.851   14.284   14.024    0.005    0.002    0.002    0.001
 3-112044740 179.39656  18.90079   16.421   15.224   14.356   13.959    0.008    0.002    0.005    0.002
 3-112044773 179.32734  18.77710   16.885   15.688   14.607   14.100    0.004    0.003    0.003    0.003
 3-112044847 178.95549  18.30961   15.300   14.248   13.785   13.551    0.005    0.004    0.009    0.012
 3-112133543 179.64577  19.45581   14.692   14.176   13.949   13.860    0.006    0.005    0.006    0.005
 3-112133606 179.36836  19.08530   14.619   14.050 -999.000   13.691    0.004  999.000  999.000    0.004
 3-112133639 178.97837  18.84769   14.861   14.257   14.040   13.928    0.009    0.003    0.007    0.004
 3-112133641 179.21537  18.78220   15.398   14.436   14.061   13.880    0.005    0.005    0.003    0.002
 3-112133762 178.26684  18.21675   14.897   14.364   14.125   14.042    0.005    0.086    0.028    0.003
 3-112222195 180.20225  19.80193   15.302   14.352   13.937   13.734    0.003    0.003    0.004    0.006
 3-112222457 178.85476  18.76104   14.747   14.296   14.081   13.996    0.004    0.008    0.001    0.004
 3-112222567 178.25075  18.36875   14.871   14.192   13.877   13.754    0.002    0.011    0.007    0.006
